tweet_id,favorite_count,retweet_count
892420643555336193,38251,8377
892177421306343426,32789,6184
891815181378084864,24691,4092
891689557279858688,41579,8519
891327558926688256,39751,9226
891087950875897856,19949,3070
890971913173991426,11679,2034
890729181411237888,64553,18604
890609185150312448,27425,4210
890240255349198849,31478,7279
890006608113172480,30254,7229
889880896479866881,27410,4902
889665388333682689,47469,9914
889638837579907072,26800,4480
889531135344209921,14899,2209
889278841981685760,24916,5302
888917238123831296,28682,4432
888804989199671297,25214,4236
888554962724278272,19578,3499
888078434458587136,21467,3447
887705289381826560,29757,5315
887517139158093824,45654,11501
887473957103951883,68161,17927
887343217045368832,33223,10255
887101392804085760,30153,5880
886983233522544640,34690,7667
886736880519319552,11882,3234
886680336477933568,22133,4400
886366144734445568,20895,3153
886267009285017600,116,4
886258384151887873,27606,6191
886054160059072513,0,105
885984800019947520,32228,6701
885528943205470208,35504,6336
885518971528720385,20155,3707
885311592912609280,0,18320
885167619883638784,21630,4320
884925521741709313,76457,18057
884876753390489601,27552,5585
884562892145688576,23986,4686
884441805382717440,26641,5575
884247878851493888,72075,20188
884162670584377345,20088,2947
883838122936631299,21617,3403
883482846933004288,45331,9820
883360690899218434,22274,3628
883117836046086144,36699,6584
882992080364220416,23655,3867
882762694511734784,27945,4855
882627270321602560,27552,6003
882268110199369728,44372,11447
882045870035918850,28979,4907
881906580714921986,23996,3350
881666595344535552,49920,10528
881633300179243008,124,7
881536004380872706,48817,15743
881268444196462592,22789,5107
880935762899988482,16794,2750
880872448815771648,21004,3770
880465832366813184,28157,6201
880221127280381952,26726,4166
880095782870896641,27290,4305
879862464715927552,22035,3456
879674319642796034,309,10
879492040517615616,23126,3145
879415818425184262,104546,43688
879376492567855104,16563,3085
879130579576475649,0,6748
879050749262655488,22284,4667
879008229531029506,18749,2665
878776093423087618,19173,4081
878604707211726852,29898,7122
878404777348136964,0,1275
878316110768087041,0,6584
878281511006478336,7655,1275
878057613040115712,41525,6748
877736472329191424,78844,18884
877611172832227328,0,80
877556246731214848,22441,3770
877316821321428993,27045,5122
877201837425926144,26798,5527
876838120628539392,20429,3312
876537666061221889,23221,4578
876484053909872640,18535,2377
876120275196170240,27592,4654
875747767867523072,24898,4259
875144289856114688,21673,4884
875097192612077568,27110,5995
875021211251597312,25176,4680
874680097055178752,27528,4609
874434818259525634,0,14638
874296783580663808,25772,4082
874057562936811520,22412,3930
874012996292530176,34246,10352
873580283840344065,23963,3923
873337748698140672,0,1579
873213775632977920,7161,1579
872967104147763200,27109,5384
872820683541237760,14572,3680
872620804844003328,20594,3685
872486979161796608,40320,8976
872261713294495745,33906,6300
872122724285648897,34168,8103
871879754684805121,37694,11161
871762521631449091,20122,3471
871515927908634625,20074,3448
871166179821445120,0,5698
871102520638267392,20789,5502
871032628920680449,22514,3818
870804317367881728,33414,6211
870726314365509632,119,3
870656317836468226,12344,2651
870374049280663552,82292,26262
870308999962521604,21730,4162
870063196459192321,36516,8373
869772420881756160,42259,10063
869702957897576449,28143,6366
869596645499047938,15929,3142
869227993411051520,20380,3802
868880397819494401,65520,14576
868639477480148993,0,2111
868622495443632128,26837,5473
868552278524837888,10130,2111
867900495410671616,24184,4210
867774946302451713,34004,7402
867421006826221569,16124,2531
867072653475098625,0,122
867051520902168576,32268,7943
866720684873056260,20121,4863
866686824827068416,19368,3528
866450705531457537,122583,35685
866334964761202691,52761,14638
866094527597207552,0,8483
865718153858494464,25711,5684
865359393868664832,26581,5068
865006731092295680,28138,7794
864873206498414592,32452,8838
864279568663928832,14705,3088
864197398364647424,30334,9088
863907417377173506,20757,4213
863553081350529029,15400,4247
863471782782697472,0,2501
863432100342583297,23988,5355
863427515083354112,2279,99
863079547188785154,8830,1119
863062471531167744,8589,2501
862831371563274240,19325,5178
862722525377298433,17201,3595
862457590147678208,20720,5052
862096992088072192,75237,23771
861383897657036800,36420,10919
861288531465048066,17357,4243
861005113778896900,16885,3890
860981674716409858,0,2206
860924035999428608,0,842
860563773140209665,7583,2206
860524505164394496,23879,5397
860276583193509888,18507,3557
860184849394610176,16880,5970
860177593139703809,0,31622
859924526012018688,19792,4198
859851578198683649,15582,3599
859607811541651456,18827,1613
859196978902773760,91180,31023
859074603037188101,34351,13966
858860390427611136,0,8373
858843525470990336,15750,3571
858471635011153920,21804,4987
858107933456039936,15952,3004
857989990357356544,16356,2662
857746408056729600,34828,10971
857393404942143489,6006,1691
857263160327368704,20343,4661
857214891891077121,232,18
857062103051644929,0,177
857029823797047296,19270,4137
856602993587888130,0,11055
856543823941562368,16558,2981
856526610513747968,12056,1942
856330835276025856,0,702
856288084350160898,526,17
856282028240666624,28241,6543
855862651834028034,352,28
855860136149123072,5147,1069
855857698524602368,12082,2191
855851453814013952,46337,18346
855818117272018944,27145,5632
855459453768019968,30575,8532
855245323840757760,0,6218
855138241867124737,0,48
854732716440526848,23386,6364
854482394044301312,30047,7165
854365224396361728,19370,4888
854120357044912130,32779,7816
854010172552949760,16621,3297
853760880890318849,29367,6067
853639147608842240,35833,10612
853299958564483072,15957,3739
852936405516943360,0,2109
852912242202992640,9322,1930
852672615818899456,15361,2264
852553447878664193,16870,3696
852311364735569921,34145,10390
852226086759018497,20632,7150
852189679701164033,11828,1667
851953902622658560,0,10151
851861385021730816,0,23
851591660324737024,16734,3658
